CID dG0'f pH T I var 
C00001 -155.700 7.00 298.15 0.25 0 
C00002 -2293.700 7.00 298.15 0.25 0 
C00007 16.400 7.00 298.15 0.25 0 
C00008 -1423.900 7.00 298.15 0.25 0 
C00009 -1059.100 7.00 298.15 0.25 0 
C00011 -386.000 7.00 298.15 0.25 0 
C00013 -1942.800 7.00 298.15 0.25 0 
C00014 82.800 7.00 298.15 0.25 0 
C00020 -554.900 7.00 298.15 0.25 0 
C00022 -350.800 7.00 298.15 0.25 0 
C00023 0.000 7.00 298.15 0.25 0 
C00025 -372.400 7.00 298.15 0.25 0 
C00026 -633.700 7.00 298.15 0.25 0 
C00027 -52.500 7.00 298.15 0.25 0 
C00031 -427.000 7.00 298.15 0.25 0 
C00033 -247.900 7.00 298.15 0.25 0 
C00034 0.000 7.00 298.15 0.25 0 
C00036 -715.000 7.00 298.15 0.25 0 
C00037 -176.200 7.00 298.15 0.25 0 
C00041 -85.800 7.00 298.15 0.25 0 
C00042 -530.700 7.00 298.15 0.25 0 
C00048 -428.700 7.00 298.15 0.25 0 
C00049 -452.300 7.00 298.15 0.25 0 
C00058 -311.100 7.00 298.15 0.25 0 
C00059 -747.800 7.00 298.15 0.25 0 
C00064 -120.600 7.00 298.15 0.25 0 
C00065 -225.700 7.00 298.15 0.25 0 
C00067 -40.000 7.00 298.15 0.25 0 
C00074 -1189.500 7.00 298.15 0.25 0 
C00078 374.200 7.00 298.15 0.25 0 
C00079 241.100 7.00 298.15 0.25 0 
C00080 0.000 0.00 298.15 0.00 0 
C00082 77.500 7.00 298.15 0.25 0 
C00084 24.000 7.00 298.15 0.25 0 
C00085 -1316.000 7.00 298.15 0.25 0 
C00086 -39.800 7.00 298.15 0.25 0 
C00088 -33.000 7.00 298.15 0.25 0 
C00087 0.000 7.00 298.15 0.25 0 
C00089 -668.300 7.00 298.15 0.25 0 
C00092 -1319.100 7.00 298.15 0.25 0 
C00093 -1077.200 7.00 298.15 0.25 0 
C00094 -488.000 7.00 298.15 0.25 0 
C00095 -426.600 7.00 298.15 0.25 0 
C00097 -53.700 7.00 298.15 0.25 0 
C00103 -1312.000 7.00 298.15 0.25 0 
C00111 -1095.900 7.00 298.15 0.25 0 
C00116 -171.500 7.00 298.15 0.25 0 
C00117 -1232.400 7.00 298.15 0.25 0 
C00118 -1088.200 7.00 298.15 0.25 0 
C00119 -2977.400 7.00 298.15 0.25 0 
C00121 -331.300 7.00 298.15 0.25 0 
C00122 -523.600 7.00 298.15 0.25 0 
C00123 177.400 7.00 298.15 0.25 0 
C00124 -420.000 7.00 298.15 0.25 0 
C00132 -12.300 7.00 298.15 0.25 0 
C00147 517.100 7.00 298.15 0.25 0 
C00149 -682.900 7.00 298.15 0.25 0 
C00152 -200.100 7.00 298.15 0.25 0 
C00158 -966.300 7.00 298.15 0.25 0 
C00159 -421.100 7.00 298.15 0.25 0 
C00160 -409.500 7.00 298.15 0.25 0 
C00164 -279.600 7.00 298.15 0.25 0 
C00181 -343.000 7.00 298.15 0.25 0 
C00183 89.500 7.00 298.15 0.25 0 
C00184 -206.500 7.00 298.15 0.25 0 
