RID dG0'r pH T I 
R1 -7.449 7.30 310.15 NaN 
R1 -8.296 7.30 310.15 NaN 
R1 -9.012 7.30 310.15 NaN 
R1 -6.180 7.30 310.15 NaN 
R1 -8.296 7.30 310.15 NaN 
R1 -8.397 7.30 310.15 NaN 
R1 -8.766 7.30 310.15 NaN 
R1 -9.163 7.30 310.15 NaN 
R1 -6.802 7.30 310.15 NaN 
R1 -6.980 7.30 310.15 NaN 
R1 -7.589 7.30 310.15 NaN 
R1 -8.588 7.30 310.15 NaN 
R1 -5.193 7.30 310.15 NaN 
R1 -7.302 7.30 310.15 NaN 
R1 -9.163 7.30 310.15 NaN 
R2 -13.385 6.02 303.15 NaN 
R2 -15.276 6.00 303.15 NaN 
R2 -14.369 6.01 303.15 NaN 
R2 -13.699 5.94 303.15 NaN 
R2 -14.168 6.12 303.15 NaN 
R2 -12.689 6.04 303.15 NaN 
R2 -13.410 6.03 303.15 NaN 
R2 -12.431 5.99 303.15 NaN 
R2 -11.279 5.70 303.15 NaN 
R2 -13.859 6.03 303.15 NaN 
R2 -13.258 6.00 303.15 NaN 
R2 -13.610 6.00 303.15 NaN 
R2 -13.899 6.02 303.15 NaN 
R2 -14.248 6.34 303.15 NaN 
R2 -12.967 5.94 303.15 NaN 
R2 -14.402 6.00 303.15 NaN 
R2 -12.123 6.01 303.15 NaN 
R2 -16.189 6.00 303.15 NaN 
R2 -13.165 6.03 303.15 NaN 
R2 -13.610 5.94 303.15 NaN 
R2 -13.610 5.94 303.15 NaN 
R2 -14.318 6.07 303.15 NaN 
R2 -15.850 6.67 303.15 NaN 
R2 -13.518 6.03 303.15 NaN 
R2 -13.137 6.04 303.15 NaN 
R2 -14.800 6.08 303.15 NaN 
R2 -14.394 6.07 303.15 NaN 
R2 -14.008 6.03 303.15 NaN 
R2 -14.360 6.07 303.15 NaN 
R2 -12.987 8.86 298.15 NaN 
R3 -15.912 6.70 310.15 NaN 
R4 -15.912 6.70 310.15 NaN 
R4 -17.583 7.70 310.15 NaN 
R4 -15.383 6.70 310.15 NaN 
R4 -17.780 7.70 310.15 NaN 
R4 -15.858 6.70 310.15 NaN 
R4 -15.364 6.70 310.15 NaN 
R4 -12.623 6.80 303.15 NaN 
R5 -20.084 8.00 303.15 NaN 
R5 -13.369 7.00 311.15 0.25 
R3 18.266 7.00 273.15 NaN 
R6 13.145 7.00 313.15 NaN 
R6 10.972 7.00 333.15 NaN 
R6 16.596 7.00 293.15 NaN 
R6 17.529 7.00 293.15 NaN 
R6 18.667 7.00 293.15 NaN 
R6 18.284 7.00 293.15 NaN 
R6 19.385 7.00 293.15 NaN 
R6 19.385 7.00 293.15 NaN 
R6 19.843 7.00 293.15 NaN 
R6 18.619 7.00 333.15 NaN 
R6 19.250 7.00 293.15 NaN 
R6 18.468 7.00 293.15 NaN 
R6 16.596 7.00 293.15 NaN 
R6 16.008 7.00 293.15 NaN 
R6 16.172 7.00 313.15 NaN 
R6 15.591 7.00 313.15 NaN 
R6 14.355 7.00 333.15 NaN 
R6 13.299 7.00 333.15 NaN 
R6 2.303 8.00 298.40 NaN 
R6 3.033 7.50 303.15 NaN 
R6 1.032 7.40 310.15 NaN 
R6 10.628 7.00 311.15 0.25 
R6 -13.297 6.99 310.15 0.25 
R6 20.017 6.90 298.15 NaN 
R6 -7.992 7.00 311.15 0.25 
R6 13.177 7.24 298.15 NaN 
R6 17.891 9.00 278.15 NaN 
R6 13.158 9.00 313.15 NaN 
R6 15.631 9.00 298.15 NaN 
R6 4.188 6.00 313.15 NaN 
R7 -19.048 7.40 308.15 NaN 
R7 -1.515 5.90 310.15 NaN 
R8 6.772 7.30 298.15 NaN 
R7 20.098 7.60 298.15 NaN 
R9 -6.041 5.80 303.15 NaN 
R10 -7.547 6.60 303.15 NaN 
R11 1.274 7.30 310.15 NaN 
R12 19.071 7.00 266.15 NaN 
R13 15.840 7.00 293.15 NaN 
R6 12.023 7.00 333.15 NaN 
R6 10.884 7.00 343.15 NaN 
R6 18.413 7.00 273.15 NaN 
R14 10.760 6.50 298.15 0.10 
R15 -2.594 7.00 284.15 NaN 
R16 -2.722 7.00 298.15 NaN 
R17 -2.859 7.00 313.15 NaN 
R11 -2.726 7.00 308.15 NaN 
R18 -2.578 7.00 274.15 NaN 
R18 -2.625 7.00 279.15 NaN 
R19 15.304 7.70 303.15 NaN 
R6 1.992 6.70 300.15 NaN 
R6 16.971 7.00 295.65 NaN 
R6 -2.722 7.10 298.15 NaN 
R6 -4.521 8.20 298.15 NaN 
R6 17.891 9.00 278.15 NaN 
R20 13.158 9.00 313.15 NaN 
R21 15.631 9.00 298.15 NaN 
R21 -0.147 7.00 303.15 NaN 
R21 -0.239 7.00 323.15 NaN 
R21 -0.416 7.00 333.15 NaN 
R21 -0.200 7.00 313.15 NaN 
R21 8.831 7.60 300.15 NaN 
R22 2.721 7.25 288.15 NaN 
R8 1.272 7.25 288.15 NaN 
R22 1.436 7.25 288.15 NaN 
R23 0.070 7.25 288.15 NaN 
R24 0.314 7.25 288.15 NaN 
R6 -0.515 7.25 288.15 NaN 
R6 -0.572 7.25 288.15 NaN 
R6 -0.890 7.25 288.15 NaN 
R25 -0.314 7.25 288.15 NaN 
R25 0.475 7.25 288.15 NaN 
R25 0.875 7.25 288.15 NaN 
R25 2.576 7.25 288.15 NaN 
R22 1.854 7.25 288.15 NaN 
R8 1.768 7.25 288.15 NaN 
R8 1.854 7.25 288.15 NaN 
R8 1.944 7.25 288.15 NaN 
R8 1.813 7.25 288.15 NaN 
R8 1.944 7.25 288.15 NaN 
R8 2.066 7.25 288.15 NaN 
R8 1.561 7.25 288.15 NaN 
R8 1.944 7.25 288.15 NaN 
R8 1.575 7.25 288.15 NaN 
R8 2.500 7.25 288.15 NaN 
R8 -0.754 7.25 288.15 NaN 
R8 1.380 7.25 288.15 NaN 
R8 1.901 7.25 288.15 NaN 
R8 0.552 7.25 288.15 NaN 
R8 0.552 7.25 288.15 NaN 
R8 -0.823 7.25 288.15 NaN 
R8 2.298 7.25 288.15 NaN 
